studentNo,fName,lName,gender,Program,address,inResidence,highschool,transcript,academicStanding,birthday
11,Charlotte,Devan,F,Software Engineering,"2062 Tawny Cider Promenade, Shungopavi, Ontario, P1O-9H2, CA",0,"White Oaks High School, Oakville, Ontario","Charlotte, Devan, 2062 Tawny Cider Promenade, Shungopavi, Ontario, P1O-9H2, CA, 11, 1987-02-04, Software Engineering, White Oaks High School, Oakville, Ontario, ",Clear,1987-02-04
12,Levi,Deborah,M,Software Engineering,"1297 Silent Elk Alley, Vopolo Havoka, Ontario, K8P-7V3, CA",1,"White Oaks High School, Oakville, Ontario","Levi, Deborah, 1297 Silent Elk Alley, Vopolo Havoka, Ontario, K8P-7V3, CA, 12, 1990-09-28, Software Engineering, White Oaks High School, Oakville, Ontario, ",Clear ,1990-09-28
13,Isabella,Jerome,F,Software Engineering,"1634 Dusty Fawn Thicket, Madrid, Ontario, K1X-9O8, CA",1,"Meadowvale Secondary School, Mississauga, Ontario","Isabella, Jerome, 1634 Dusty Fawn Thicket, Madrid, Ontario, K1X-9O8, CA, 13, 1999-11-11, Software Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear,1999-11-11
14,Mason,Nichole,M,Electrical Engineering,"6796 Cinder Abbey, Beer Bottle Crossing, Ontario, L9O-9A5, CA",1,"Meadowvale Secondary School, Mississauga, Ontario","Mason, Nichole, 6796 Cinder Abbey, Beer Bottle Crossing, Ontario, L9O-9A5, CA, 14, 1999-10-25, Electrical Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear ,1999-10-25
15,Mia,Tyrell,F,Electrical Engineering,"7175 Lazy Autoroute, The String, Ontario, L6P-3D1, CA",1,"Meadowvale Secondary School, Mississauga, Ontario","Mia, Tyrell, 7175 Lazy Autoroute, The String, Ontario, L6P-3D1, CA, 15, 1987-08-12, Electrical Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear,1987-08-12
16,Asher,Ann,F,Electrical Engineering,"4908 Colonial Drive, Potato Patch, Ontario, N0G-4L3, CA",0,"Meadowvale Secondary School, Mississauga, Ontario","Asher, Ann, 4908 Colonial Drive, Potato Patch, Ontario, N0G-4L3, CA, 16, 2003-05-18, Electrical Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear ,2003-05-18
17,Luna,Tyree,M,Mechatronics Engineering,"9340 Noble Branch Corners, Ai, Ontario, M5L-7C7, CA",1,"Meadowvale Secondary School, Mississauga, Ontario","Luna, Tyree, 9340 Noble Branch Corners, Ai, Ontario, M5L-7C7, CA, 17, 1999-07-19, Mechatronics Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear,1999-07-19
18,James,Chasity,F,Mechatronics Engineering,"6334 Heather Heath, Debardeleben, Ontario, P5X-9K1, CA",0,"St Joseph Secondary School, Mississauga, Ontario","James, Chasity, 6334 Heather Heath, Debardeleben, Ontario, P5X-9K1, CA, 18, 1989-05-26, Mechatronics Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear ,1989-05-26
19,Harper,Ahmed,M,Software Engineering,"9667 Bright Meadow, Hephzibah, Ontario, P1K-7R9, CA",0,"St Joseph Secondary School, Mississauga, Ontario","Harper, Ahmed, 9667 Bright Meadow, Hephzibah, Ontario, P1K-7R9, CA, 19, 1989-01-21, Software Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear,1989-01-21
20,Ethan,Alma,F,Software Engineering,"980 High Street, Buffalolick, Ontario, P8J-4O4, CA",0,"St Joseph Secondary School, Mississauga, Ontario","Ethan, Alma, 980 High Street, Buffalolick, Ontario, P8J-4O4, CA, 20, 1987-07-28, Software Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear ,1987-07-28
21,Gianna,Alfonso,F,Software Engineering,"4281 Emerald Island Heights, Ute, Ontario, N2N-1R3, CA",1,"St Joseph Secondary School, Mississauga, Ontario","Gianna, Alfonso, 4281 Emerald Island Heights, Ute, Ontario, N2N-1R3, CA, 21, 1997-04-18, Software Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear,1997-04-18
22,Mateo,Lucia,M,Software Engineering,"8905 Sleepy By-pass, Cleopatra, Ontario, M2C-8N6, CA",1,"St Joseph Secondary School, Mississauga, Ontario","Mateo, Lucia, 8905 Sleepy By-pass, Cleopatra, Ontario, M2C-8N6, CA, 22, 1993-04-03, Software Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear ,1993-04-03
23,Evelyn,Noe,F,Electrical Engineering,"8337 Harvest Trail, Dice, Ontario, M9T-6W9, CA",1,"Westside Secondary School, Orangeville, Ontario","Evelyn, Noe, 8337 Harvest Trail, Dice, Ontario, M9T-6W9, CA, 23, 1993-08-05, Electrical Engineering, Westside Secondary School, Orangeville, Ontario, ",Clear,1993-08-05
24,Leo,Sage,M,Electrical Engineering,"5729 Merry Road, Dogcreek, Ontario, M4H-2Z1, CA",1,"Sinclair Secondary School, Whitby, Ontario","Leo, Sage, 5729 Merry Road, Dogcreek, Ontario, M4H-2Z1, CA, 24, 1998-09-09, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1998-09-09
25,Aria,Joey,X,Electrical Engineering,"8334 Cozy Boulevard, Rabbit Hash, Ontario, P7F-5F6, CA",0,"Sinclair Secondary School, Whitby, Ontario","Aria, Joey, 8334 Cozy Boulevard, Rabbit Hash, Ontario, P7F-5F6, CA, 25, 1985-04-03, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1985-04-03
26,Jack,Aurora,F,Mechatronics Engineering,"9234 Amber Bend, Nickel, Ontario, M1Q-5V3, CA",0,"Sinclair Secondary School, Whitby, Ontario","Jack, Aurora, 9234 Amber Bend, Nickel, Ontario, M1Q-5V3, CA, 26, 1997-03-25, Mechatronics Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1997-03-25
27,Ella,Terrence,M,Mechatronics Engineering,"478 Old Quail Towers, Tupawek, Ontario, N9U-8X6, CA",1,"Sinclair Secondary School, Whitby, Ontario","Ella, Terrence, 478 Old Quail Towers, Tupawek, Ontario, N9U-8X6, CA, 27, 1995-09-02, Mechatronics Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1995-09-02
28,Benjamin,Macie,F,Software Engineering,"1333 Thunder Freeway, Comeby, Ontario, M6F-8P5, CA",0,"Sinclair Secondary School, Whitby, Ontario","Benjamin, Macie, 1333 Thunder Freeway, Comeby, Ontario, M6F-8P5, CA, 28, 1986-05-31, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1986-05-31
29,Ellie,Deshawn,M,Software Engineering,"3480 Velvet Link, Hot Coffee, Ontario, L5X-2D2, CA",1,"Sinclair Secondary School, Whitby, Ontario","Ellie, Deshawn, 3480 Velvet Link, Hot Coffee, Ontario, L5X-2D2, CA, 29, 1989-10-05, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1989-10-05
30,Aiden,Larissa,F,Software Engineering,"8355 Lost Bay, Earth City, Ontario, L7M-7P7, CA",1,"Sinclair Secondary School, Whitby, Ontario","Aiden, Larissa, 8355 Lost Bay, Earth City, Ontario, L7M-7P7, CA, 30, 2001-07-15, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,2001-07-15
31,Mila,Brayan,F,Software Engineering,"2059 Dewy Pine Isle, Mud Town, Ontario, P9J-6G6, CA",0,"Sinclair Secondary School, Whitby, Ontario","Mila, Brayan, 2059 Dewy Pine Isle, Mud Town, Ontario, P9J-6G6, CA, 31, 1998-12-24, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1998-12-24
32,Logan,Tianna,M,Electrical Engineering,"6104 Foggy Avenue, Sleeper, Ontario, N5Z-8L4, CA",1,"Sinclair Secondary School, Whitby, Ontario","Logan, Tianna, 6104 Foggy Avenue, Sleeper, Ontario, N5Z-8L4, CA, 32, 2003-12-24, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,2003-12-24
33,Layla,Allan,F,Electrical Engineering,"7546 Blue Common, Antler, Ontario, L5I-8E1, CA",1,"Sinclair Secondary School, Whitby, Ontario","Layla, Allan, 7546 Blue Common, Antler, Ontario, L5I-8E1, CA, 33, 1994-12-07, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1994-12-07
34,Grayson,Felicia,M,Electrical Engineering,"4113 Middle Dell, Texhoma, Ontario, P4G-5F2, CA",1,"Sinclair Secondary School, Whitby, Ontario","Grayson, Felicia, 4113 Middle Dell, Texhoma, Ontario, P4G-5F2, CA, 34, 2001-07-30, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,2001-07-30
35,Avery,Julius,F,Mechatronics Engineering,"9329 Honey Butterfly Maze, Mudtavern, Ontario, L3C-8B5, CA",1,"Sinclair Secondary School, Whitby, Ontario","Avery, Julius, 9329 Honey Butterfly Maze, Mudtavern, Ontario, L3C-8B5, CA, 35, 1988-04-25, Mechatronics Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1988-04-25
36,Jackson,Emilie,F,Mechatronics Engineering,"7664 Misty Rise, Polecat, Ontario, M3K-3S9, CA",1,"Sinclair Secondary School, Whitby, Ontario","Jackson, Emilie, 7664 Misty Rise, Polecat, Ontario, M3K-3S9, CA, 36, 1985-10-28, Mechatronics Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1985-10-28
37,Camila,Ronnie,M,Software Engineering,"8397 Round Crescent, Tip Top, Ontario, N4K-5C4, CA",1,"Sinclair Secondary School, Whitby, Ontario","Camila, Ronnie, 8397 Round Crescent, Tip Top, Ontario, N4K-5C4, CA, 37, 2002-07-02, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,2002-07-02
38,Henry,Brisa,F,Software Engineering,"2739 Easy Ramp, Coke, Ontario, P2B-7I7, CA",0,"Sinclair Secondary School, Whitby, Ontario","Henry, Brisa, 2739 Easy Ramp, Coke, Ontario, P2B-7I7, CA, 38, 1991-10-12, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1991-10-12
39,Lily,Gilberto,M,Software Engineering,"2574 Hidden Panda Walk, Lolita, Ontario, P1K-9E0, CA",0,"Sinclair Secondary School, Whitby, Ontario","Lily, Gilberto, 2574 Hidden Panda Walk, Lolita, Ontario, P1K-9E0, CA, 39, 1995-02-10, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1995-02-10
40,Wyatt,Cora,F,Software Engineering,"6607 Pleasant Circle, Los Angeles, Ontario, P5A-0A2, CA",1,"Sinclair Secondary School, Whitby, Ontario","Wyatt, Cora, 6607 Pleasant Circle, Los Angeles, Ontario, P5A-0A2, CA, 40, 1999-07-12, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1999-07-12
41,Scarlett,Rogelio,F,Electrical Engineering,"377 Golden Rabbit Highway, Novice, Ontario, P4H-2B4, CA",1,"Port Credit Secondary School, Mississauga, Ontario","Scarlett, Rogelio, 377 Golden Rabbit Highway, Novice, Ontario, P4H-2B4, CA, 41, 1996-06-28, Electrical Engineering, Port Credit Secondary School, Mississauga, Ontario, ",Clear,1996-06-28
42,Sebastian,Skye,M,Electrical Engineering,"4470 Iron Bluff Gate, Pumpkin, Ontario, M7Z-0T9, CA",0,"Port Credit Secondary School, Mississauga, Ontario","Sebastian, Skye, 4470 Iron Bluff Gate, Pumpkin, Ontario, M7Z-0T9, CA, 42, 1993-04-23, Electrical Engineering, Port Credit Secondary School, Mississauga, Ontario, ",Clear ,1993-04-23
43,Sofia,Deven,F,Electrical Engineering,"1294 Green Centre, Stones Throw, Ontario, M1Q-7K9, CA",1,"Aurora High School, Aurora, Ontario","Sofia, Deven, 1294 Green Centre, Stones Throw, Ontario, M1Q-7K9, CA, 43, 1997-08-15, Electrical Engineering, Aurora High School, Aurora, Ontario, ",Clear,1997-08-15
44,Carter,Zaria,M,Mechatronics Engineering,"8942 Grand Shadow Manor, Kite, Ontario, M1J-2W4, CA",0,"Aurora High School, Aurora, Ontario","Carter, Zaria, 8942 Grand Shadow Manor, Kite, Ontario, M1J-2W4, CA, 44, 1998-07-30, Mechatronics Engineering, Aurora High School, Aurora, Ontario, ",Clear ,1998-07-30
45,Nova,Maximilian,X,Mechatronics Engineering,"2097 Crystal Vista, Relay, Ontario, M6T-7G0, CA",0,"Bishop Ryan Catholic Secondary School, Hamilton, Ontario","Nova, Maximilian, 2097 Crystal Vista, Relay, Ontario, M6T-7G0, CA, 45, 1985-07-26, Mechatronics Engineering, Bishop Ryan Catholic Secondary School, Hamilton, Ontario, ",Clear,1985-07-26
46,Daniel,Mayra,F,Software Engineering,"8470 Clear Beacon Lookout, Owls Head, Ontario, K0H-9B1, CA",1,"Sir Winston Churchill Secondary School, Hamilton, Ontario","Daniel, Mayra, 8470 Clear Beacon Lookout, Owls Head, Ontario, K0H-9B1, CA, 46, 1995-11-29, Software Engineering, Sir Winston Churchill Secondary School, Hamilton, Ontario, ",Clear ,1995-11-29
47,Aurora,Jaxon,M,Software Engineering,"1162 Umber Crest, Thanksgiving, Ontario, L8A-1Z5, CA",0,"Sir Winston Churchill Secondary School, St Catharines, Ontario","Aurora, Jaxon, 1162 Umber Crest, Thanksgiving, Ontario, L8A-1Z5, CA, 47, 1996-04-05, Software Engineering, Sir Winston Churchill Secondary School, St Catharines, Ontario, ",Clear,1996-04-05
48,William,Paulina,F,Software Engineering,"5743 Broad Sky Grounds, Treetops, Ontario, M9L-6Q7, CA",0,"Sir Wilfrid Laurier Secondary School, London, Ontario","William, Paulina, 5743 Broad Sky Grounds, Treetops, Ontario, M9L-6Q7, CA, 48, 1994-02-03, Software Engineering, Sir Wilfrid Laurier Secondary School, London, Ontario, ",Clear ,1994-02-03
49,Chloe,Uriel,M,Software Engineering,"6881 Quaking View Key, Parsippany, Ontario, K7C-0Q4, CA",0,"Sir Wilfrid Laurier Secondary School, London, Ontario","Chloe, Uriel, 6881 Quaking View Key, Parsippany, Ontario, K7C-0Q4, CA, 49, 2001-08-13, Software Engineering, Sir Wilfrid Laurier Secondary School, London, Ontario, ",Clear,2001-08-13
50,Alexander,Sasha,F,Electrical Engineering,"3686 Red Stead, Butts Corner, Ontario, M4T-1D6, CA",0,"Sir Wilfrid Laurier Secondary School, London, Ontario","Alexander, Sasha, 3686 Red Stead, Butts Corner, Ontario, M4T-1D6, CA, 50, 1997-04-07, Electrical Engineering, Sir Wilfrid Laurier Secondary School, London, Ontario, ",Clear ,1997-04-07
51,Riley,Tomas,F,Electrical Engineering,"9620 Crystal Bear Grove, Port Safety, Ontario, P6X-0S0, CA",1,"Sir Wilfrid Laurier Secondary School, Orleans, Ontario","Riley, Tomas, 9620 Crystal Bear Grove, Port Safety, Ontario, P6X-0S0, CA, 51, 1990-03-23, Electrical Engineering, Sir Wilfrid Laurier Secondary School, Orleans, Ontario, ",Clear,1990-03-23
52,Ezra,Chelsey,M,Electrical Engineering,"481 Stony Hills Port, False Klamath, Ontario, L1R-9H2, CA",0,"Sir Wilfrid Laurier Secondary School, Orleans, Ontario","Ezra, Chelsey, 481 Stony Hills Port, False Klamath, Ontario, L1R-9H2, CA, 52, 1985-01-31, Electrical Engineering, Sir Wilfrid Laurier Secondary School, Orleans, Ontario, ",Clear ,1985-01-31
53,Nora,Davion,F,Mechatronics Engineering,"8974 Thunder Dell, Little Penny, Ontario, P4N-3Q3, CA",0,"Sir Wilfrid Laurier Secondary School, Orleans, Ontario","Nora, Davion, 8974 Thunder Dell, Little Penny, Ontario, P4N-3Q3, CA, 53, 1993-09-28, Mechatronics Engineering, Sir Wilfrid Laurier Secondary School, Orleans, Ontario, ",Clear,1993-09-28
54,Owen,Justine,M,Mechatronics Engineering,"4213 Amber Common, Twentynine Palms, Ontario, P0W-3Q3, CA",0,"Sir Wilfrid Laurier Secondary School, Orleans, Ontario","Owen, Justine, 4213 Amber Common, Twentynine Palms, Ontario, P0W-3Q3, CA, 54, 2003-12-27, Mechatronics Engineering, Sir Wilfrid Laurier Secondary School, Orleans, Ontario, ",Clear ,2003-12-27
55,Hazel,Wade,F,Software Engineering,"2297 Merry Campus, Lovelock, Ontario, M2O-0B2, CA",1,"Bishop Macdonell Catholic Secondary School, Guelph, Ontario","Hazel, Wade, 2297 Merry Campus, Lovelock, Ontario, M2O-0B2, CA, 55, 1985-01-10, Software Engineering, Bishop Macdonell Catholic Secondary School, Guelph, Ontario, ",Clear,1985-01-10
56,Michael,Paris,F,Software Engineering,"2241 Burning Autumn Dale, Pittsburg, Ontario, M1T-6K7, CA",0,"Bishop Macdonell Catholic Secondary School, Guelph, Ontario","Michael, Paris, 2241 Burning Autumn Dale, Pittsburg, Ontario, M1T-6K7, CA, 56, 1986-07-12, Software Engineering, Bishop Macdonell Catholic Secondary School, Guelph, Ontario, ",Clear ,1986-07-12
57,Abigail,Mohamed,M,Software Engineering,"4465 Dusty Horse Trace, Promise, Ontario, P0H-3F2, CA",1,"Bishop Macdonell Catholic Secondary School, Guelph, Ontario","Abigail, Mohamed, 4465 Dusty Horse Trace, Promise, Ontario, P0H-3F2, CA, 57, 1994-06-30, Software Engineering, Bishop Macdonell Catholic Secondary School, Guelph, Ontario, ",Clear,1994-06-30
58,Muhammad,Madyson,F,Software Engineering,"388 High Wagon Knoll, Suquamish, Ontario, N5Z-1T5, CA",0,"St. Joan of Arc Catholic Secondary School, Mississauga, Ontario","Muhammad, Madyson, 388 High Wagon Knoll, Suquamish, Ontario, N5Z-1T5, CA, 58, 1989-11-02, Software Engineering, St. Joan of Arc Catholic Secondary School, Mississauga, Ontario, ",Clear ,1989-11-02
59,Rylee,Jarred,M,Electrical Engineering,"3724 Quaking Ramp, Comobabi, Ontario, L3U-7W0, CA",1,"St. Joan of Arc Catholic Secondary School, Mississauga, Ontario","Rylee, Jarred, 3724 Quaking Ramp, Comobabi, Ontario, L3U-7W0, CA, 59, 1998-07-01, Electrical Engineering, St. Joan of Arc Catholic Secondary School, Mississauga, Ontario, ",Clear,1998-07-01
60,Julian,Janae,F,Electrical Engineering,"1506 Silver Zephyr Crest, Picture Rocks, Ontario, M5Q-7I4, CA",1,"St. Joan of Arc Catholic Secondary School, Mississauga, Ontario","Julian, Janae, 1506 Silver Zephyr Crest, Picture Rocks, Ontario, M5Q-7I4, CA, 60, 1992-07-03, Electrical Engineering, St. Joan of Arc Catholic Secondary School, Mississauga, Ontario, ",Clear ,1992-07-03
61,Penelope,Darrell,F,Electrical Engineering,"9052 Fallen Bluff Hollow, Thistledown, Ontario, N9A-5P9, CA",1,"St Francis Xavier Secondary School, Mississauga, Ontario","Penelope, Darrell, 9052 Fallen Bluff Hollow, Thistledown, Ontario, N9A-5P9, CA, 61, 1998-09-10, Electrical Engineering, St Francis Xavier Secondary School, Mississauga, Ontario, ",Clear,1998-09-10
62,Hudson,Janelle,M,Mechatronics Engineering,"6695 Golden Carrefour, Nenahnezad, Ontario, N5S-0N4, CA",0,"St Francis Xavier Secondary School, Mississauga, Ontario","Hudson, Janelle, 6695 Golden Carrefour, Nenahnezad, Ontario, N5S-0N4, CA, 62, 1987-09-02, Mechatronics Engineering, St Francis Xavier Secondary School, Mississauga, Ontario, ",Clear ,1987-09-02
63,Elena,Lee,F,Mechatronics Engineering,"1347 Easy Jetty, Windmill, Ontario, P8F-5C4, CA",1,"St Francis Xavier Secondary School, Mississauga, Ontario","Elena, Lee, 1347 Easy Jetty, Windmill, Ontario, P8F-5C4, CA, 63, 1987-05-20, Mechatronics Engineering, St Francis Xavier Secondary School, Mississauga, Ontario, ",Clear,1987-05-20
64,Luke,Regan,M,Software Engineering,"4418 Green Nook, Bone Valley, Ontario, P9A-7A3, CA",0,"Meadowvale Secondary School, Mississauga, Ontario","Luke, Regan, 4418 Green Nook, Bone Valley, Ontario, P9A-7A3, CA, 64, 1993-09-28, Software Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear ,1993-09-28
65,Zoey,Elliot,F,Software Engineering,"4240 Pleasant Timber Abbey, Cokeville, Ontario, K6C-4L7, CA",0,"Western Secondary School, Amherstburg, Ontario","Zoey, Elliot, 4240 Pleasant Timber Abbey, Cokeville, Ontario, K6C-4L7, CA, 65, 1985-02-19, Software Engineering, Western Secondary School, Amherstburg, Ontario, ",Clear,1985-02-19
66,Samuel,Johanna,F,Software Engineering,"9293 Colonial Path, Tabernacle, Ontario, N0G-2T8, CA",1,"Western Secondary School, Amherstburg, Ontario","Samuel, Johanna, 9293 Colonial Path, Tabernacle, Ontario, N0G-2T8, CA, 66, 1993-02-10, Software Engineering, Western Secondary School, Amherstburg, Ontario, ",Clear ,1993-02-10
67,Isla,Jordon,M,Software Engineering,"9850 Shady Lagoon Close, Tallaseehatchee, Ontario, L9S-0X2, CA",1,Out of Canada,"Isla, Jordon, 9850 Shady Lagoon Close, Tallaseehatchee, Ontario, L9S-0X2, CA, 67, 2002-10-04, Software Engineering, Out of Canada, ",Clear,2002-10-04
68,Jacob,Alina,F,Electrical Engineering,"8488 Velvet Vale, Blowing Cave, Ontario, L5Q-5D2, CA",1,Out of Canada,"Jacob, Alina, 8488 Velvet Vale, Blowing Cave, Ontario, L5Q-5D2, CA, 68, 1994-06-10, Electrical Engineering, Out of Canada, ",Clear ,1994-06-10
69,Eleanor,Beau,M,Electrical Engineering,"3858 Cotton Rise, Goofy Ridge, Ontario, N3N-6R7, CA",0,Out of Canada,"Eleanor, Beau, 3858 Cotton Rise, Goofy Ridge, Ontario, N3N-6R7, CA, 69, 1991-02-12, Electrical Engineering, Out of Canada, ",Clear,1991-02-12
70,Lincoln,Angelique,F,Electrical Engineering,"9109 Heather Embers Lookout, Jamaica, Ontario, N7G-8P6, CA",1,Out of Canada,"Lincoln, Angelique, 9109 Heather Embers Lookout, Jamaica, Ontario, N7G-8P6, CA, 70, 1985-12-01, Electrical Engineering, Out of Canada, ",Clear ,1985-12-01
71,Elizabeth,Alvin,F,Mechatronics Engineering,"2983 Umber Meadow, Quicksand, Ontario, K8X-0N5, CA",1,Out of Canada,"Elizabeth, Alvin, 2983 Umber Meadow, Quicksand, Ontario, K8X-0N5, CA, 71, 1992-04-05, Mechatronics Engineering, Out of Canada, ",Clear,1992-04-05
72,Gabriel,Irene,M,Mechatronics Engineering,"747 Noble Byway, Sandy Furnace, Ontario, M0J-4M9, CA",1,"Abbey Park High School, Oakville, Ontario","Gabriel, Irene, 747 Noble Byway, Sandy Furnace, Ontario, M0J-4M9, CA, 72, 1988-02-01, Mechatronics Engineering, Abbey Park High School, Oakville, Ontario, ",Clear ,1988-02-01
73,Madison,Mohammad,F,Software Engineering,"2645 Misty Subdivision, China, Ontario, P6X-5W3, CA",0,"Abbey Park High School, Oakville, Ontario","Madison, Mohammad, 2645 Misty Subdivision, China, Ontario, P6X-5W3, CA, 73, 1996-01-26, Software Engineering, Abbey Park High School, Oakville, Ontario, ",Clear,1996-01-26
74,Jayden,Emely,M,Software Engineering,"514 Round Green, Monks Hammock, Ontario, N5E-9Z7, CA",1,"Abbey Park High School, Oakville, Ontario","Jayden, Emely, 514 Round Green, Monks Hammock, Ontario, N5E-9Z7, CA, 74, 1994-07-04, Software Engineering, Abbey Park High School, Oakville, Ontario, ",Clear ,1994-07-04
75,Willow,Cedric,F,Software Engineering,"5396 Gentle Goose Corners, Swindleville, Ontario, P1Y-5J0, CA",1,"Mississauga Secondary School, Mississauga, Ontario","Willow, Cedric, 5396 Gentle Goose Corners, Swindleville, Ontario, P1Y-5J0, CA, 75, 1985-12-03, Software Engineering, Mississauga Secondary School, Mississauga, Ontario, ",Clear,1985-12-03
76,Luca,Annabelle,F,Software Engineering,"7799 Wishing Log Maze, Foxhome, Ontario, N8H-4H1, CA",0,"Mississauga Secondary School, Mississauga, Ontario","Luca, Annabelle, 7799 Wishing Log Maze, Foxhome, Ontario, N8H-4H1, CA, 76, 1998-10-07, Software Engineering, Mississauga Secondary School, Mississauga, Ontario, ",Clear ,1998-10-07
